ward,precinct,office,district,party,candidate,votes
2,6,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2215
2,6,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,122
2,6,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,2
2,6,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,13
2,6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,166
2,6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2009
2,6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,362
2,6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,34
2,6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,2
2,6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,202
2,6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,175
2,6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,170
2,6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,199
2,6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,711
2,6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,855
2,6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1555
2,6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,21
2,6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
2,6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1788
2,6,WARD TWO MEMBER OF THE COUNCIL,,DEM,Jack Evans,2303
2,6,WARD TWO MEMBER OF THE COUNCIL,,NON,WRITE-IN,86
2,6,WARD TWO MEMBER OF THE COUNCIL,,,OVER VOTES,1
2,6,WARD TWO MEMBER OF THE COUNCIL,,,UNDER VOTES,347
2,6,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,909
2,6,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,251
2,6,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,662
2,6,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,40
2,6,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,3
2,6,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,872
2,6,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,Jack Jacobson,1838
2,6,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,38
2,6,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
2,6,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,861
2,6,ANC - 2E01 SINGLE MEMBER DISTRICT 01-ANC 2E,,NON,Ed Solomon,622
2,6,ANC - 2E01 SINGLE MEMBER DISTRICT 01-ANC 2E,,NON,WRITE-IN,19
2,6,ANC - 2E01 SINGLE MEMBER DISTRICT 01-ANC 2E,,,OVER VOTES,0
2,6,ANC - 2E01 SINGLE MEMBER DISTRICT 01-ANC 2E,,,UNDER VOTES,202
2,6,ANC - 2E02 SINGLE MEMBER DISTRICT 02-ANC 2E,,NON,Joe Gibbons,452
2,6,ANC - 2E02 SINGLE MEMBER DISTRICT 02-ANC 2E,,NON,WRITE-IN,10
2,6,ANC - 2E02 SINGLE MEMBER DISTRICT 02-ANC 2E,,,OVER VOTES,0
2,6,ANC - 2E02 SINGLE MEMBER DISTRICT 02-ANC 2E,,,UNDER VOTES,155
2,6,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,NON,Rick Murphy,313
2,6,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,NON,Greg Miller,151
2,6,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,NON,WRITE-IN,5
2,6,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,,OVER VOTES,0
2,6,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,,UNDER VOTES,131
2,6,ANC - 2E04 SINGLE MEMBER DISTRICT 04-ANC 2E,,NON,NO CANDIDATE FILED,0
2,6,ANC - 2E04 SINGLE MEMBER DISTRICT 04-ANC 2E,,NON,WRITE-IN,5
2,6,ANC - 2E04 SINGLE MEMBER DISTRICT 04-ANC 2E,,,OVER VOTES,0
2,6,ANC - 2E04 SINGLE MEMBER DISTRICT 04-ANC 2E,,,UNDER VOTES,18
2,6,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,NON,Bill Starrels,104
2,6,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,NON,Lisa Palmer,170
2,6,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,NON,WRITE-IN,5
2,6,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,,OVER VOTES,0
2,6,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,,UNDER VOTES,38
2,6,ANC - 2E08 SINGLE MEMBER DISTRICT 08-ANC 2E,,NON,Zachary Schroepfer,271
2,6,ANC - 2E08 SINGLE MEMBER DISTRICT 08-ANC 2E,,NON,WRITE-IN,7
2,6,ANC - 2E08 SINGLE MEMBER DISTRICT 08-ANC 2E,,,OVER VOTES,0
2,6,ANC - 2E08 SINGLE MEMBER DISTRICT 08-ANC 2E,,,UNDER VOTES,59
3,7,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,54
3,7,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,22
3,7,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,166
3,7,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1227
3,7,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,62
3,7,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
3,7,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,7
3,7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,91
3,7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1140
3,7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,206
3,7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,25
3,7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
3,7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,76
3,7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,106
3,7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,85
3,7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,150
3,7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,333
3,7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,541
3,7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,937
3,7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,15
3,7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
3,7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,887
3,7,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,479
3,7,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,138
3,7,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,426
3,7,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,33
3,7,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,2
3,7,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,449
3,7,ANC - 3D06 SINGLE MEMBER DISTRICT 06-ANC 3D,,NON,Stephen Gardner,325
3,7,ANC - 3D06 SINGLE MEMBER DISTRICT 06-ANC 3D,,NON,WRITE-IN,19
3,7,ANC - 3D06 SINGLE MEMBER DISTRICT 06-ANC 3D,,,OVER VOTES,0
3,7,ANC - 3D06 SINGLE MEMBER DISTRICT 06-ANC 3D,,,UNDER VOTES,111
3,7,ANC - 3D09 SINGLE MEMBER DISTRICT 09-ANC 3D,,NON,Conrad J. DeWitte Jr.,757
3,7,ANC - 3D09 SINGLE MEMBER DISTRICT 09-ANC 3D,,NON,WRITE-IN,35
3,7,ANC - 3D09 SINGLE MEMBER DISTRICT 09-ANC 3D,,,OVER VOTES,0
3,7,ANC - 3D09 SINGLE MEMBER DISTRICT 09-ANC 3D,,,UNDER VOTES,280
3,8,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,89
3,8,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,23
3,8,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,300
3,8,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2384
3,8,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,126
3,8,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
3,8,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,24
3,8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,186
3,8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2208
3,8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,341
3,8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,53
3,8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
3,8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,158
3,8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,162
3,8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,129
3,8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,229
3,8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,663
3,8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1031
3,8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1770
3,8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,42
3,8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,6
3,8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1792
3,8,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1144
3,8,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,182
3,8,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,720
3,8,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,38
3,8,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,1
3,8,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,827
3,8,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,NON,Chuck Elkins,117
3,8,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,NON,WRITE-IN,7
3,8,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,,OVER VOTES,0
3,8,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,,UNDER VOTES,39
3,8,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,NON,Troy Kravitz,11
3,8,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,NON,Tom Smith,14
3,8,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,NON,WRITE-IN,3
3,8,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,,OVER VOTES,0
3,8,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,,UNDER VOTES,12
3,8,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,NON,Gretchen M. Randolph,55
3,8,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,NON,Joe Green,36
3,8,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,NON,Holmes Whalen,95
3,8,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,NON,WRITE-IN,4
3,8,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,,OVER VOTES,0
3,8,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,,UNDER VOTES,34
3,8,ANC - 3D04 SINGLE MEMBER DISTRICT 04-ANC 3D,,NON,NO CANDIDATE FILED,0
3,8,ANC - 3D04 SINGLE MEMBER DISTRICT 04-ANC 3D,,NON,WRITE-IN,481
3,8,ANC - 3D04 SINGLE MEMBER DISTRICT 04-ANC 3D,,,OVER VOTES,0
3,8,ANC - 3D04 SINGLE MEMBER DISTRICT 04-ANC 3D,,,UNDER VOTES,557
3,8,ANC - 3D05 SINGLE MEMBER DISTRICT 05-ANC 3D,,NON,Alma H. Gates,734
3,8,ANC - 3D05 SINGLE MEMBER DISTRICT 05-ANC 3D,,NON,WRITE-IN,114
3,8,ANC - 3D05 SINGLE MEMBER DISTRICT 05-ANC 3D,,,OVER VOTES,0
3,8,ANC - 3D05 SINGLE MEMBER DISTRICT 05-ANC 3D,,,UNDER VOTES,222
3,8,ANC - 3D06 SINGLE MEMBER DISTRICT 06-ANC 3D,,NON,Stephen Gardner,286
3,8,ANC - 3D06 SINGLE MEMBER DISTRICT 06-ANC 3D,,NON,WRITE-IN,14
3,8,ANC - 3D06 SINGLE MEMBER DISTRICT 06-ANC 3D,,,OVER VOTES,0
3,8,ANC - 3D06 SINGLE MEMBER DISTRICT 06-ANC 3D,,,UNDER VOTES,77
3,9,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,50
3,9,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,14
3,9,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,260
3,9,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1280
3,9,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,83
3,9,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,1
3,9,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,13
3,9,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,82
3,9,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1229
3,9,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,226
3,9,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,33
3,9,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
3,9,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,131
3,9,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,99
3,9,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,108
3,9,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,114
3,9,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,485
3,9,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,581
3,9,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,928
3,9,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,20
3,9,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
3,9,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1037
3,9,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,524
3,9,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,146
3,9,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,498
3,9,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,40
3,9,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,0
3,9,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,478
3,9,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,NON,Chuck Elkins,0
3,9,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,NON,WRITE-IN,0
3,9,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,,OVER VOTES,0
3,9,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,,UNDER VOTES,1
3,9,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,NON,Troy Kravitz,291
3,9,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,NON,Tom Smith,252
3,9,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,NON,WRITE-IN,2
3,9,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,,OVER VOTES,0
3,9,ANC - 3D02 SINGLE MEMBER DISTRICT 02-ANC 3D,,,UNDER VOTES,29
3,9,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,NON,Gretchen M. Randolph,241
3,9,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,NON,Joe Green,178
3,9,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,NON,Holmes Whalen,298
3,9,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,NON,WRITE-IN,10
3,9,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,,OVER VOTES,0
3,9,ANC - 3D03 SINGLE MEMBER DISTRICT 03-ANC 3D,,,UNDER VOTES,59
3,9,ANC - 3D04 SINGLE MEMBER DISTRICT 04-ANC 3D,,NON,NO CANDIDATE FILED,0
3,9,ANC - 3D04 SINGLE MEMBER DISTRICT 04-ANC 3D,,NON,WRITE-IN,1
3,9,ANC - 3D04 SINGLE MEMBER DISTRICT 04-ANC 3D,,,OVER VOTES,0
3,9,ANC - 3D04 SINGLE MEMBER DISTRICT 04-ANC 3D,,,UNDER VOTES,52
3,9,ANC - 3D07 SINGLE MEMBER DISTRICT 07-ANC 3D,,NON,NO CANDIDATE FILED,0
3,9,ANC - 3D07 SINGLE MEMBER DISTRICT 07-ANC 3D,,NON,WRITE-IN,39
3,9,ANC - 3D07 SINGLE MEMBER DISTRICT 07-ANC 3D,,,OVER VOTES,0
3,9,ANC - 3D07 SINGLE MEMBER DISTRICT 07-ANC 3D,,,UNDER VOTES,233
3,10,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,53
3,10,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,18
3,10,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,224
3,10,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1854
3,10,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,81
3,10,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,2
3,10,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,12
3,10,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,135
3,10,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1707
3,10,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,240
3,10,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,26
3,10,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,2
3,10,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,134
3,10,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,125
3,10,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,161
3,10,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,179
3,10,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,452
3,10,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,817
3,10,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1377
3,10,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,19
3,10,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,4
3,10,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1292
3,10,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,751
3,10,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,161
3,10,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,635
3,10,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,34
3,10,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,2
3,10,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,630
3,10,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,NON,Chuck Elkins,698
3,10,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,NON,WRITE-IN,23
3,10,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,,OVER VOTES,0
3,10,ANC - 3D01 SINGLE MEMBER DISTRICT 01-ANC 3D,,,UNDER VOTES,232
3,10,ANC - 3D08 SINGLE MEMBER DISTRICT 08-ANC 3D,,NON,Michael Gold,650
3,10,ANC - 3D08 SINGLE MEMBER DISTRICT 08-ANC 3D,,NON,WRITE-IN,16
3,10,ANC - 3D08 SINGLE MEMBER DISTRICT 08-ANC 3D,,,OVER VOTES,0
3,10,ANC - 3D08 SINGLE MEMBER DISTRICT 08-ANC 3D,,,UNDER VOTES,248
3,10,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,NON,Silvia Lucero,264
3,10,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,NON,WRITE-IN,14
3,10,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,,OVER VOTES,0
3,10,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,,UNDER VOTES,68
3,11,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,126
3,11,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,60
3,11,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,363
3,11,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,3188
3,11,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,147
3,11,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,3
3,11,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,17
3,11,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,268
3,11,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2868
3,11,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,497
3,11,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,48
3,11,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,3
3,11,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,220
3,11,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,238
3,11,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,197
3,11,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,381
3,11,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,839
3,11,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1511
3,11,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,2265
3,11,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,38
3,11,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,4
3,11,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,2293
3,11,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1522
