county,office,district,town,precinct,candidate,party,votes,state_election_id
Chittenden,State House,CHT-5-2,Shelburne,,Jessica Comai Brumsted,Democratic,1225,82176
Chittenden,State House,CHT-5-2,Saint George,,Jessica Comai Brumsted,Democratic,192,82176
Chittenden,State House,CHT-5-2,Shelburne,,Bruce Elmore,Independent,717,82176
Chittenden,State House,CHT-5-2,Saint George,,Bruce Elmore,Independent,118,82176
Chittenden,State House,CHT-5-2,Shelburne,,Write-ins,,2,82176
Chittenden,State House,CHT-5-2,Saint George,,Write-ins,,0,82176
Chittenden,State House,CHT-5-2,Shelburne,,Blanks,,262,82176
Chittenden,State House,CHT-5-2,Saint George,,Blanks,,53,82176
Chittenden,State House,CHT-5-2,Shelburne,,Spoiled,,1,82176
Chittenden,State House,CHT-5-2,Saint George,,Spoiled,,0,82176
Chittenden,State House,CHT-5-2,Shelburne,,Total Votes Cast,,2207,82176
Chittenden,State House,CHT-5-2,Saint George,,Total Votes Cast,,363,82176
Chittenden,State House,CHT-6-1,Burlington,,Carol Ode,Democratic,2559,82114
Chittenden,State House,CHT-6-1,Burlington,,Kurt Wright,Republican,2135,82114
Chittenden,State House,CHT-6-1,Burlington,,Joanna Cole,Democratic,2068,82114
Chittenden,State House,CHT-6-1,Burlington,,Mike McGarghan,Republican,729,82114
Chittenden,State House,CHT-6-1,Burlington,,Write-ins,,17,82114
Chittenden,State House,CHT-6-1,Burlington,,Blanks,,1494,82114
Chittenden,State House,CHT-6-1,Burlington,,Spoiled,,0,82114
Chittenden,State House,CHT-6-1,Burlington,,Total Votes Cast,,9002,82114
Chittenden,State House,CHT-6-2,Burlington,,Jean O Sullivan,Democratic,1858,82115
Chittenden,State House,CHT-6-2,Burlington,,Write-ins,,26,82115
Chittenden,State House,CHT-6-2,Burlington,,Blanks,,8,82115
Chittenden,State House,CHT-6-2,Burlington,,Spoiled,,4,82115
Chittenden,State House,CHT-6-2,Burlington,,Total Votes Cast,,1896,82115
Chittenden,State House,CHT-6-3,Burlington,,Jill Krowinski,Democratic,2603,82116
Chittenden,State House,CHT-6-3,Burlington,,Curt McCormack,Democratic,2139,82116
Chittenden,State House,CHT-6-3,Burlington,,Write-ins,,56,82116
Chittenden,State House,CHT-6-3,Burlington,,Blanks,,2526,82116
Chittenden,State House,CHT-6-3,Burlington,,Spoiled,,0,82116
Chittenden,State House,CHT-6-3,Burlington,,Total Votes Cast,,7324,82116
Chittenden,State House,CHT-6-4,Burlington,,Selene Colburn,Progressive/Democratic,1691,82117
Chittenden,State House,CHT-6-4,Burlington,,Brian Cina,Progressive/Democratic,1506,82117
Chittenden,State House,CHT-6-4,Burlington,,Write-ins,,32,82117
Chittenden,State House,CHT-6-4,Burlington,,Blanks,,1633,82117
Chittenden,State House,CHT-6-4,Burlington,,Spoiled,,0,82117
Chittenden,State House,CHT-6-4,Burlington,,Total Votes Cast,,4862,82117
Chittenden,State House,CHT-6-5,Burlington,,Mary M. Sullivan,Democratic,3451,82118
Chittenden,State House,CHT-6-5,Burlington,,Johannah Leddy Donovan,Democratic,3313,82118
Chittenden,State House,CHT-6-5,Burlington,,Write-ins,,50,82118
Chittenden,State House,CHT-6-5,Burlington,,Blanks,,3126,82118
Chittenden,State House,CHT-6-5,Burlington,,Spoiled,,0,82118
Chittenden,State House,CHT-6-5,Burlington,,Total Votes Cast,,9940,82118
Chittenden,State House,CHT-6-6,Burlington,,Barbara Rachelson,Democratic,873,82119
Chittenden,State House,CHT-6-6,Burlington,,Write-ins,,11,82119
Chittenden,State House,CHT-6-6,Burlington,,Blanks,,241,82119
Chittenden,State House,CHT-6-6,Burlington,,Spoiled,,0,82119
Chittenden,State House,CHT-6-6,Burlington,,Total Votes Cast,,1125,82119
Chittenden,State House,CHT-6-7,Burlington,,Clement. Clem. Bissonnette,Democratic,47,82120
Chittenden,State House,CHT-6-7,Winooski,,Clement. Clem. Bissonnette,Democratic,1677,82120
Chittenden,State House,CHT-6-7,Burlington,,Diana Gonzalez,Progressive/Democratic,69,82120
Chittenden,State House,CHT-6-7,Winooski,,Diana Gonzalez,Progressive/Democratic,1495,82120
Chittenden,State House,CHT-6-7,Burlington,,Robert Millar,Progressive,54,82120
Chittenden,State House,CHT-6-7,Winooski,,Robert Millar,Progressive,1034,82120
Chittenden,State House,CHT-6-7,Burlington,,Write-ins,,3,82120
Chittenden,State House,CHT-6-7,Winooski,,Write-ins,,16,82120
Chittenden,State House,CHT-6-7,Burlington,,Blanks,,75,82120
Chittenden,State House,CHT-6-7,Winooski,,Blanks,,1994,82120
Chittenden,State House,CHT-6-7,Burlington,,Spoiled,,2,82120
Chittenden,State House,CHT-6-7,Winooski,,Spoiled,,10,82120
Chittenden,State House,CHT-6-7,Burlington,,Total Votes Cast,,250,82120
Chittenden,State House,CHT-6-7,Winooski,,Total Votes Cast,,6226,82120
Chittenden,State House,CHT-7-1,South Burlington,,Martin Lalonde,Democratic,2126,82182
Chittenden,State House,CHT-7-1,South Burlington,,Write-ins,,19,82182
Chittenden,State House,CHT-7-1,South Burlington,,Blanks,,481,82182
Chittenden,State House,CHT-7-1,South Burlington,,Spoiled,,6,82182
Chittenden,State House,CHT-7-1,South Burlington,,Total Votes Cast,,2632,82182
Chittenden,State House,CHT-7-2,South Burlington,,Ann Pugh,Democratic,1669,82183
Chittenden,State House,CHT-7-2,South Burlington,,Sam Handy,Republican,1197,82183
Chittenden,State House,CHT-7-2,South Burlington,,Write-ins,,2,82183
Chittenden,State House,CHT-7-2,South Burlington,,Blanks,,167,82183
Chittenden,State House,CHT-7-2,South Burlington,,Spoiled,,2,82183
Chittenden,State House,CHT-7-2,South Burlington,,Total Votes Cast,,3037,82183
Chittenden,State House,CHT-7-3,South Burlington,,Helen Head,Democratic,2063,82184
Chittenden,State House,CHT-7-3,South Burlington,,Write-ins,,25,82184
Chittenden,State House,CHT-7-3,South Burlington,,Blanks,,449,82184
Chittenden,State House,CHT-7-3,South Burlington,,Spoiled,,13,82184
Chittenden,State House,CHT-7-3,South Burlington,,Total Votes Cast,,2550,82184
Chittenden,State House,CHT-7-4,South Burlington,,Maida F. Townsend,Democratic,1933,82181
Chittenden,State House,CHT-7-4,South Burlington,,Write-ins,,21,82181
Chittenden,State House,CHT-7-4,South Burlington,,Blanks,,374,82181
Chittenden,State House,CHT-7-4,South Burlington,,Spoiled,,35,82181
Chittenden,State House,CHT-7-4,South Burlington,,Total Votes Cast,,2363,82181
Chittenden,State House,CHT-8-1,Essex,,Betsy Dunn,Democratic,2748,82144
Chittenden,State House,CHT-8-1,Essex,,Linda K. Myers,Republican,2680,82144
Chittenden,State House,CHT-8-1,Essex,,V. Chase,Libertarian,845,82144
Chittenden,State House,CHT-8-1,Essex,,Write-ins,,25,82144
Chittenden,State House,CHT-8-1,Essex,,Blanks,,3308,82144
Chittenden,State House,CHT-8-1,Essex,,Spoiled,,6,82144
Chittenden,State House,CHT-8-1,Essex,,Total Votes Cast,,9612,82144
Chittenden,State House,CHT-8-2,Essex,,Lori Houghton,Democratic,2603,82143
Chittenden,State House,CHT-8-2,Essex,,Dylan Giambatista,Democratic,2396,82143
Chittenden,State House,CHT-8-2,Essex,,Paul Dame,Republican,2102,82143
Chittenden,State House,CHT-8-2,Essex,,R. Michael Plageman,Republican,1769,82143
Chittenden,State House,CHT-8-2,Essex,,Write-ins,,4,82143
Chittenden,State House,CHT-8-2,Essex,,Blanks,,1372,82143
Chittenden,State House,CHT-8-2,Essex,,Spoiled,,0,82143
Chittenden,State House,CHT-8-2,Essex,,Total Votes Cast,,10246,82143
Chittenden,State House,CHT-8-3,Essex,,Robert L. Bancroft,Republican,581,82145
Chittenden,State House,CHT-8-3,Westford,,Robert L. Bancroft,Republican,720,82145
Chittenden,State House,CHT-8-3,Essex,,John C. Churchman,Democratic,747,82145
Chittenden,State House,CHT-8-3,Westford,,John C. Churchman,Democratic,494,82145
Chittenden,State House,CHT-8-3,Essex,,Write-ins,,1,82145
Chittenden,State House,CHT-8-3,Westford,,Write-ins,,2,82145
Chittenden,State House,CHT-8-3,Essex,,Blanks,,97,82145
Chittenden,State House,CHT-8-3,Westford,,Blanks,,64,82145
Chittenden,State House,CHT-8-3,Essex,,Spoiled,,1,82145
Chittenden,State House,CHT-8-3,Westford,,Spoiled,,1,82145
Chittenden,State House,CHT-8-3,Essex,,Total Votes Cast,,1427,82145
Chittenden,State House,CHT-8-3,Westford,,Total Votes Cast,,1281,82145
Chittenden,State House,CHT-9-1,Colchester,,Jim Condon,Democratic,1828,82131
Chittenden,State House,CHT-9-1,Colchester,,Curt Taylor,Democratic,1443,82131
Chittenden,State House,CHT-9-1,Colchester,,Joey A. Purvis,Republican,1418,82131
Chittenden,State House,CHT-9-1,Colchester,,Patrick Liebrecht,Republican,658,82131
Chittenden,State House,CHT-9-1,Colchester,,Write-ins,,10,82131
Chittenden,State House,CHT-9-1,Colchester,,Blanks,,1419,82131
Chittenden,State House,CHT-9-1,Colchester,,Spoiled,,2,82131
Chittenden,State House,CHT-9-1,Colchester,,Total Votes Cast,,6778,82131
Chittenden,State House,CHT-9-2,Colchester,,Pat Brennan,Republican,2784,82132
Chittenden,State House,CHT-9-2,Colchester,,Maureen P. Dakin,Democratic,2532,82132
Chittenden,State House,CHT-9-2,Colchester,,Write-ins,,25,82132
Chittenden,State House,CHT-9-2,Colchester,,Blanks,,3751,82132
Chittenden,State House,CHT-9-2,Colchester,,Spoiled,,90,82132
Chittenden,State House,CHT-9-2,Colchester,,Total Votes Cast,,9182,82132
Essex,State House,ESS-CAL,Brunswick,,Connie Quimby,Republican,21,82112
Essex,State House,ESS-CAL,Concord,,Connie Quimby,Republican,340,82112
Essex,State House,ESS-CAL,Granby,,Connie Quimby,Republican,33,82112
Essex,State House,ESS-CAL,Guildhall,,Connie Quimby,Republican,67,82112
Caledonia,State House,ESS-CAL,Kirby,,Connie Quimby,Republican,136,82112
Essex,State House,ESS-CAL,Lunenburg,,Connie Quimby,Republican,326,82112
Essex,State House,ESS-CAL,Maidstone,,Connie Quimby,Republican,59,82112
Essex,State House,ESS-CAL,Victory,,Connie Quimby,Republican,38,82112
Essex,State House,ESS-CAL,Brunswick,,Ed Clark,Democratic,33,82112
Essex,State House,ESS-CAL,Concord,,Ed Clark,Democratic,225,82112
Essex,State House,ESS-CAL,Granby,,Ed Clark,Democratic,9,82112
Essex,State House,ESS-CAL,Guildhall,,Ed Clark,Democratic,78,82112
Caledonia,State House,ESS-CAL,Kirby,,Ed Clark,Democratic,122,82112
Essex,State House,ESS-CAL,Lunenburg,,Ed Clark,Democratic,216,82112
Essex,State House,ESS-CAL,Maidstone,,Ed Clark,Democratic,52,82112
Essex,State House,ESS-CAL,Victory,,Ed Clark,Democratic,24,82112
Essex,State House,ESS-CAL,Brunswick,,Write-ins,,2,82112
Essex,State House,ESS-CAL,Concord,,Write-ins,,0,82112
Essex,State House,ESS-CAL,Granby,,Write-ins,,0,82112
Essex,State House,ESS-CAL,Guildhall,,Write-ins,,0,82112
Caledonia,State House,ESS-CAL,Kirby,,Write-ins,,0,82112
Essex,State House,ESS-CAL,Lunenburg,,Write-ins,,0,82112
Essex,State House,ESS-CAL,Maidstone,,Write-ins,,1,82112
Essex,State House,ESS-CAL,Victory,,Write-ins,,0,82112
Essex,State House,ESS-CAL,Brunswick,,Blanks,,2,82112
Essex,State House,ESS-CAL,Concord,,Blanks,,11,82112
Essex,State House,ESS-CAL,Granby,,Blanks,,1,82112
Essex,State House,ESS-CAL,Guildhall,,Blanks,,3,82112
Caledonia,State House,ESS-CAL,Kirby,,Blanks,,8,82112
Essex,State House,ESS-CAL,Lunenburg,,Blanks,,20,82112
Essex,State House,ESS-CAL,Maidstone,,Blanks,,6,82112
Essex,State House,ESS-CAL,Victory,,Blanks,,6,82112
Essex,State House,ESS-CAL,Brunswick,,Spoiled,,0,82112
Essex,State House,ESS-CAL,Concord,,Spoiled,,1,82112
Essex,State House,ESS-CAL,Granby,,Spoiled,,0,82112
Essex,State House,ESS-CAL,Guildhall,,Spoiled,,0,82112
Caledonia,State House,ESS-CAL,Kirby,,Spoiled,,0,82112
Essex,State House,ESS-CAL,Lunenburg,,Spoiled,,0,82112
Essex,State House,ESS-CAL,Maidstone,,Spoiled,,0,82112
Essex,State House,ESS-CAL,Victory,,Spoiled,,0,82112
Essex,State House,ESS-CAL,Brunswick,,Total Votes Cast,,58,82112
Essex,State House,ESS-CAL,Concord,,Total Votes Cast,,577,82112
Essex,State House,ESS-CAL,Granby,,Total Votes Cast,,43,82112
Essex,State House,ESS-CAL,Guildhall,,Total Votes Cast,,148,82112
Caledonia,State House,ESS-CAL,Kirby,,Total Votes Cast,,266,82112
Essex,State House,ESS-CAL,Lunenburg,,Total Votes Cast,,562,82112
Essex,State House,ESS-CAL,Maidstone,,Total Votes Cast,,118,82112
Essex,State House,ESS-CAL,Victory,,Total Votes Cast,,68,82112
Essex,State House,ESS-CAL-ORL,Bloomfield,,Paul D. Lefebvre,Republican,81,82095
Essex,State House,ESS-CAL-ORL,Brighton,,Paul D. Lefebvre,Republican,496,82095
Essex,State House,ESS-CAL-ORL,Canaan,,Paul D. Lefebvre,Republican,326,82095
Essex,State House,ESS-CAL-ORL,East Haven,,Paul D. Lefebvre,Republican,125,82095
Essex,State House,ESS-CAL-ORL,Lemington,,Paul D. Lefebvre,Republican,48,82095
Caledonia,State House,ESS-CAL-ORL,Newark,,Paul D. Lefebvre,Republican,265,82095
Essex,State House,ESS-CAL-ORL,Norton,,Paul D. Lefebvre,Republican,70,82095
Orleans,State House,ESS-CAL-ORL,Westmore,,Paul D. Lefebvre,Republican,179,82095
Essex,State House,ESS-CAL-ORL,Bloomfield,,Write-ins,,2,82095
Essex,State House,ESS-CAL-ORL,Brighton,,Write-ins,,10,82095
Essex,State House,ESS-CAL-ORL,Canaan,,Write-ins,,5,82095
Essex,State House,ESS-CAL-ORL,East Haven,,Write-ins,,2,82095
Essex,State House,ESS-CAL-ORL,Lemington,,Write-ins,,1,82095
Caledonia,State House,ESS-CAL-ORL,Newark,,Write-ins,,3,82095
Essex,State House,ESS-CAL-ORL,Norton,,Write-ins,,0,82095
Orleans,State House,ESS-CAL-ORL,Westmore,,Write-ins,,9,82095
Essex,State House,ESS-CAL-ORL,Bloomfield,,Blanks,,29,82095
Essex,State House,ESS-CAL-ORL,Brighton,,Blanks,,54,82095
Essex,State House,ESS-CAL-ORL,Canaan,,Blanks,,103,82095
Essex,State House,ESS-CAL-ORL,East Haven,,Blanks,,22,82095
Essex,State House,ESS-CAL-ORL,Lemington,,Blanks,,8,82095
Caledonia,State House,ESS-CAL-ORL,Newark,,Blanks,,38,82095
Essex,State House,ESS-CAL-ORL,Norton,,Blanks,,16,82095
Orleans,State House,ESS-CAL-ORL,Westmore,,Blanks,,33,82095
Essex,State House,ESS-CAL-ORL,Bloomfield,,Spoiled,,0,82095
Essex,State House,ESS-CAL-ORL,Brighton,,Spoiled,,3,82095
Essex,State House,ESS-CAL-ORL,Canaan,,Spoiled,,2,82095
Essex,State House,ESS-CAL-ORL,East Haven,,Spoiled,,0,82095
Essex,State House,ESS-CAL-ORL,Lemington,,Spoiled,,0,82095
Caledonia,State House,ESS-CAL-ORL,Newark,,Spoiled,,1,82095
Essex,State House,ESS-CAL-ORL,Norton,,Spoiled,,0,82095
Orleans,State House,ESS-CAL-ORL,Westmore,,Spoiled,,0,82095
Essex,State House,ESS-CAL-ORL,Bloomfield,,Total Votes Cast,,112,82095
Essex,State House,ESS-CAL-ORL,Brighton,,Total Votes Cast,,563,82095
Essex,State House,ESS-CAL-ORL,Canaan,,Total Votes Cast,,436,82095
Essex,State House,ESS-CAL-ORL,East Haven,,Total Votes Cast,,149,82095
Essex,State House,ESS-CAL-ORL,Lemington,,Total Votes Cast,,57,82095
Caledonia,State House,ESS-CAL-ORL,Newark,,Total Votes Cast,,307,82095
Essex,State House,ESS-CAL-ORL,Norton,,Total Votes Cast,,86,82095
Orleans,State House,ESS-CAL-ORL,Westmore,,Total Votes Cast,,221,82095
Franklin,State House,FRK-1,Georgia,,Carl J. Rosenquist,Republican,1518,82147
Franklin,State House,FRK-1,Georgia,,Caroline Bright,Democratic,859,82147
Franklin,State House,FRK-1,Georgia,,Write-ins,,0,82147
Franklin,State House,FRK-1,Georgia,,Blanks,,70,82147
Franklin,State House,FRK-1,Georgia,,Spoiled,,2,82147
Franklin,State House,FRK-1,Georgia,,Total Votes Cast,,2449,82147
Franklin,State House,FRK-2,Fairfax,,Barbara Smith Murphy,Independent,1194,82146
Franklin,State House,FRK-2,Fairfax,,Mary Beerworth,Republican,1136,82146
Franklin,State House,FRK-2,Fairfax,,Write-ins,,3,82146
Franklin,State House,FRK-2,Fairfax,,Blanks,,96,82146
Franklin,State House,FRK-2,Fairfax,,Spoiled,,2,82146
Franklin,State House,FRK-2,Fairfax,,Total Votes Cast,,2431,82146
Franklin,State House,FRK-3-1,Saint Albans City,,Corey Parent,Republican,1337,82174
Franklin,State House,FRK-3-1,Saint Albans Town,,Corey Parent,Republican,666,82174
Franklin,State House,FRK-3-1,Saint Albans City,,Kathleen C. Keenan,Democratic,1112,82174
Franklin,State House,FRK-3-1,Saint Albans Town,,Kathleen C. Keenan,Democratic,372,82174
Franklin,State House,FRK-3-1,Saint Albans City,,Mike McCarthy,Democratic,1104,82174
Franklin,State House,FRK-3-1,Saint Albans Town,,Mike McCarthy,Democratic,310,82174
Franklin,State House,FRK-3-1,Saint Albans City,,Claude Bouchard,Republican,754,82174
Franklin,State House,FRK-3-1,Saint Albans Town,,Claude Bouchard,Republican,369,82174
Franklin,State House,FRK-3-1,Saint Albans City,,Write-ins,,7,82174
Franklin,State House,FRK-3-1,Saint Albans Town,,Write-ins,,3,82174
Franklin,State House,FRK-3-1,Saint Albans City,,Blanks,,768,82174
Franklin,State House,FRK-3-1,Saint Albans Town,,Blanks,,368,82174
Franklin,State House,FRK-3-1,Saint Albans City,,Spoiled,,0,82174
Franklin,State House,FRK-3-1,Saint Albans Town,,Spoiled,,0,82174
Franklin,State House,FRK-3-1,Saint Albans City,,Total Votes Cast,,5082,82174
Franklin,State House,FRK-3-1,Saint Albans Town,,Total Votes Cast,,2088,82174
Franklin,State House,FRK-3-2,Saint Albans Town,,Eileen. Lynn. Dickinson,Republican,1261,82175
Franklin,State House,FRK-3-2,Saint Albans Town,,David Abell McWilliams,Democratic,772,82175
Franklin,State House,FRK-3-2,Saint Albans Town,,Write-ins,,10,82175
Franklin,State House,FRK-3-2,Saint Albans Town,,Blanks,,82,82175
Franklin,State House,FRK-3-2,Saint Albans Town,,Spoiled,,4,82175
Franklin,State House,FRK-3-2,Saint Albans Town,,Total Votes Cast,,2129,82175
Franklin,State House,FRK-4,Sheldon,,Brian K. Savage,Republican,442,82180
Franklin,State House,FRK-4,Swanton,,Brian K. Savage,Republican,1534,82180
Franklin,State House,FRK-4,Sheldon,,Marianna Gamache,Republican,389,82180
Franklin,State House,FRK-4,Swanton,,Marianna Gamache,Republican,1184,82180
Franklin,State House,FRK-4,Sheldon,,Donald. Don. Collins,Democratic,344,82180
Franklin,State House,FRK-4,Swanton,,Donald. Don. Collins,Democratic,1152,82180
Franklin,State House,FRK-4,Sheldon,,Andrew Judge,Democratic,186,82180
Franklin,State House,FRK-4,Swanton,,Andrew Judge,Democratic,689,82180
Franklin,State House,FRK-4,Sheldon,,Write-ins,,2,82180
Franklin,State House,FRK-4,Swanton,,Write-ins,,12,82180
Franklin,State House,FRK-4,Sheldon,,Blanks,,2,82180
Franklin,State House,FRK-4,Swanton,,Blanks,,853,82180
Franklin,State House,FRK-4,Sheldon,,Spoiled,,0,82180
Franklin,State House,FRK-4,Swanton,,Spoiled,,0,82180
Franklin,State House,FRK-4,Sheldon,,Total Votes Cast,,1365,82180
Franklin,State House,FRK-4,Swanton,,Total Votes Cast,,5424,82180
Franklin,State House,FRK-5,Berkshire,,Albert. Chuck. Pearce,Republican,421,82092
Franklin,State House,FRK-5,Franklin,,Albert. Chuck. Pearce,Republican,371,82092
Franklin,State House,FRK-5,Highgate,,Albert. Chuck. Pearce,Republican,525,82092
Franklin,State House,FRK-5,Richford,,Albert. Chuck. Pearce,Republican,607,82092
Franklin,State House,FRK-5,Berkshire,,Steve Beyor,Democratic/Republican,260,82092
Franklin,State House,FRK-5,Franklin,,Steve Beyor,Democratic/Republican,346,82092
Franklin,State House,FRK-5,Highgate,,Steve Beyor,Democratic/Republican,887,82092
Franklin,State House,FRK-5,Richford,,Steve Beyor,Democratic/Republican,279,82092
Franklin,State House,FRK-5,Berkshire,,Joshua Aldrich,Democratic,190,82092
Franklin,State House,FRK-5,Franklin,,Joshua Aldrich,Democratic,203,82092
Franklin,State House,FRK-5,Highgate,,Joshua Aldrich,Democratic,498,82092
Franklin,State House,FRK-5,Richford,,Joshua Aldrich,Democratic,253,82092
Franklin,State House,FRK-5,Berkshire,,Daniel Nadeau,Progressive,50,82092
Franklin,State House,FRK-5,Franklin,,Daniel Nadeau,Progressive,76,82092
Franklin,State House,FRK-5,Highgate,,Daniel Nadeau,Progressive,237,82092
Franklin,State House,FRK-5,Richford,,Daniel Nadeau,Progressive,77,82092
Franklin,State House,FRK-5,Berkshire,,Dan Newton,Independent,60,82092
Franklin,State House,FRK-5,Franklin,,Dan Newton,Independent,39,82092
Franklin,State House,FRK-5,Highgate,,Dan Newton,Independent,65,82092
Franklin,State House,FRK-5,Richford,,Dan Newton,Independent,104,82092
